id	GENE_ID	GO_PRO
VEGFA	VEGFA	adherens junction [GO:0005912]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; platelet alpha granule lumen [GO:0031093]; secretory granule [GO:0030141]; chemoattractant activity [GO:0042056]; cytokine activity [GO:0005125]; extracellular matrix binding [GO:0050840]; fibronectin binding [GO:0001968]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; neuropilin binding [GO:0038191]; platelet-derived growth factor receptor binding [GO:0005161]; protein homodimerization activity [GO:0042803]; receptor ligand activity [GO:0048018]; vascular endothelial growth factor receptor 1 binding [GO:0043183]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; vascular endothelial growth factor receptor binding [GO:0005172]; activation of protein kinase activity [GO:0032147]; angiogenesis [GO:0001525]; artery morphogenesis [GO:0048844]; basophil chemotaxis [GO:0002575]; branching involved in blood vessel morphogenesis [GO:0001569]; camera-type eye morphogenesis [GO:0048593]; cardiac muscle cell development [GO:0055013]; cardiac vascular smooth muscle cell development [GO:0060948]; cell maturation [GO:0048469]; cell migration involved in sprouting angiogenesis [GO:0002042]; cellular response to hypoxia [GO:0071456]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cellular stress response to acid chemical [GO:0097533]; commissural neuron axon guidance [GO:0071679]; coronary artery morphogenesis [GO:0060982]; coronary vein morphogenesis [GO:0003169]; dopaminergic neuron differentiation [GO:0071542]; endothelial cell chemotaxis [GO:0035767]; epithelial cell differentiation [GO:0030855]; eye photoreceptor cell development [GO:0042462]; heart morphogenesis [GO:0003007]; in utero embryonic development [GO:0001701]; induction of positive chemotaxis [GO:0050930]; kidney development [GO:0001822]; lactation [GO:0007595]; lung development [GO:0030324]; lymph vessel morphogenesis [GO:0036303]; macrophage differentiation [GO:0030225]; mammary gland alveolus development [GO:0060749]; mesoderm development [GO:0007498]; monocyte differentiation [GO:0030224]; motor neuron migration [GO:0097475]; negative regulation of adherens junction organization [GO:1903392]; negative regulation of apoptotic process [GO:0043066]; negative regulation of blood-brain barrier permeability [GO:1905604]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of establishment of endothelial barrier [GO:1903141]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; outflow tract morphogenesis [GO:0003151]; ovarian follicle development [GO:0001541]; positive chemotaxis [GO:0050918]; positive regulation of angiogenesis [GO:0045766]; positive regulation of axon extension involved in axon guidance [GO:0048842]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903589]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell division [GO:0051781]; positive regulation of cell migration [GO:0030335]; positive regulation of cell migration by vascular endothelial growth factor signaling pathway [GO:0038089]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway [GO:0038091]; positive regulation of cellular component movement [GO:0051272]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of CREB transcription factor activity [GO:0032793]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial tube formation [GO:1905278]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of gene expression [GO:0010628]; positive regulation of histone deacetylase activity [GO:1901727]; positive regulation of leukocyte migration [GO:0002687]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mast cell chemotaxis [GO:0060754]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine autophosphorylation [GO:1900086]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phosphorylation [GO:0042327]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein kinase C signaling [GO:0090037]; positive regulation of protein kinase D signaling [GO:1903572]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of receptor internalization [GO:0002092]; positive regulation of retinal ganglion cell axon guidance [GO:1902336]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of trophoblast cell migration [GO:1901165]; positive regulation of vascular permeability [GO:0043117]; post-embryonic camera-type eye development [GO:0031077]; primitive erythrocyte differentiation [GO:0060319]; regulation of cell shape [GO:0008360]; regulation of nitric oxide mediated signal transduction [GO:0010749]; regulation of retinal ganglion cell axon guidance [GO:0090259]; regulation of transcription by RNA polymerase II [GO:0006357]; response to hypoxia [GO:0001666]; sprouting angiogenesis [GO:0002040]; surfactant homeostasis [GO:0043129]; tube formation [GO:0035148]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vascular endothelial growth factor receptor-2 signaling pathway [GO:0036324]; vascular endothelial growth factor signaling pathway [GO:0038084]; vascular wound healing [GO:0061042]; vasculogenesis [GO:0001570]; VEGF-activated neuropilin signaling pathway [GO:0038190]
H3BUU9	CDH11	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell morphogenesis [GO:0000902]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; cell-cell junction assembly [GO:0007043]; corticospinal tract morphogenesis [GO:0021957]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; modulation of chemical synaptic transmission [GO:0050804]; ossification [GO:0001503]; skeletal system development [GO:0001501]; skin development [GO:0043588]
CADH5	CDH5	adherens junction [GO:0005912]; bicellular tight junction [GO:0005923]; catenin complex [GO:0016342]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; beta-catenin binding [GO:0008013]; BMP receptor binding [GO:0070700]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; fibrinogen binding [GO:0070051]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase binding [GO:1990782]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]; vascular endothelial growth factor receptor 2 binding [GO:0043184]; adherens junction organization [GO:0034332]; bicellular tight junction assembly [GO:0070830]; blood vessel endothelial cell migration [GO:0043534]; blood vessel maturation [GO:0001955]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell morphogenesis [GO:0000902]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; cell-cell junction assembly [GO:0007043]; cellular calcium ion homeostasis [GO:0006874]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; maintenance of blood-brain barrier [GO:0035633]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of inflammatory response [GO:0050728]; negative regulation of microtubule polymerization [GO:0031115]; positive regulation of angiogenesis [GO:0045766]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cell migration [GO:0030335]; positive regulation of establishment of endothelial barrier [GO:1903142]; positive regulation of gene expression [GO:0010628]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of protein-containing complex assembly [GO:0031334]; protein localization to bicellular tight junction [GO:1902396]; regulation of establishment of cell polarity [GO:2000114]; regulation of protein phosphorylation [GO:0001932]; regulation of vascular permeability [GO:0043114]; transforming growth factor beta receptor signaling pathway [GO:0007179]; vasculature development [GO:0001944]
OXYR	OXTR	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; integral component of plasma membrane [GO:0005887]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; oxytocin receptor activity [GO:0004990]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; vasopressin receptor activity [GO:0005000]; cell surface receptor signaling pathway [GO:0007166]; digestive tract development [GO:0048565]; eating behavior [GO:0042755]; ERK1 and ERK2 cascade [GO:0070371]; estrous cycle [GO:0044849]; female pregnancy [GO:0007565]; G protein-coupled receptor signaling pathway [GO:0007186]; heart development [GO:0007507]; lactation [GO:0007595]; maternal behavior [GO:0042711]; maternal process involved in parturition [GO:0060137]; memory [GO:0007613]; muscle contraction [GO:0006936]; negative regulation of gastric acid secretion [GO:0060455]; positive regulation of blood pressure [GO:0045777]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of norepinephrine secretion [GO:0010701]; positive regulation of penile erection [GO:0060406]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of uterine smooth muscle contraction [GO:0070474]; positive regulation of vasoconstriction [GO:0045907]; regulation of systemic arterial blood pressure by vasopressin [GO:0001992]; response to amphetamine [GO:0001975]; response to anoxia [GO:0034059]; response to cocaine [GO:0042220]; response to cytokine [GO:0034097]; response to estradiol [GO:0032355]; response to peptide hormone [GO:0043434]; response to progesterone [GO:0032570]; response to xenobiotic stimulus [GO:0009410]; sleep [GO:0030431]; social behavior [GO:0035176]; sperm ejaculation [GO:0042713]; suckling behavior [GO:0001967]; telencephalon development [GO:0021537]
ANXA1	ANXA1	adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extrinsic component of endosome membrane [GO:0031313]; extrinsic component of external side of plasma membrane [GO:0031232]; extrinsic component of membrane [GO:0019898]; focal adhesion [GO:0005925]; lateral plasma membrane [GO:0016328]; motile cilium [GO:0031514]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; vesicle [GO:0031982]; cadherin binding involved in cell-cell adhesion [GO:0098641]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; phospholipase A2 inhibitor activity [GO:0019834]; phospholipid binding [GO:0005543]; signaling receptor binding [GO:0005102]; actin cytoskeleton reorganization [GO:0031532]; adaptive immune response [GO:0002250]; alpha-beta T cell differentiation [GO:0046632]; arachidonic acid secretion [GO:0050482]; cell surface receptor signaling pathway [GO:0007166]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA duplex unwinding [GO:0032508]; endocrine pancreas development [GO:0031018]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gliogenesis [GO:0042063]; granulocyte chemotaxis [GO:0071621]; hepatocyte differentiation [GO:0070365]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; insulin secretion [GO:0030073]; keratinocyte differentiation [GO:0030216]; monocyte chemotaxis [GO:0002548]; myoblast migration involved in skeletal muscle regeneration [GO:0014839]; negative regulation of apoptotic process [GO:0043066]; negative regulation of exocytosis [GO:0045920]; negative regulation of interleukin-8 production [GO:0032717]; negative regulation of phospholipase A2 activity [GO:1900138]; negative regulation of T-helper 2 cell differentiation [GO:0045629]; neutrophil activation [GO:0042119]; neutrophil clearance [GO:0097350]; neutrophil homeostasis [GO:0001780]; peptide cross-linking [GO:0018149]; phagocytosis [GO:0006909]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of prostaglandin biosynthetic process [GO:0031394]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T-helper 1 cell differentiation [GO:0045627]; positive regulation of vesicle fusion [GO:0031340]; positive regulation of wound healing [GO:0090303]; prolactin secretion [GO:0070459]; prostate gland development [GO:0030850]; regulation of cell shape [GO:0008360]; regulation of hormone secretion [GO:0046883]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 production [GO:0032652]; regulation of leukocyte migration [GO:0002685]; response to estradiol [GO:0032355]; response to interleukin-1 [GO:0070555]; response to peptide hormone [GO:0043434]; response to X-ray [GO:0010165]; signal transduction [GO:0007165]
YES	YES1	actin filament [GO:0005884]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; microtubule organizing center [GO:0005815]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]; cell differentiation [GO:0030154]; cellular protein modification process [GO:0006464]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; ephrin receptor signaling pathway [GO:0048013]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; innate immune response [GO:0045087]; leukocyte migration [GO:0050900]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of glucose transmembrane transport [GO:0010827]; regulation of vascular permeability [GO:0043114]; T cell costimulation [GO:0031295]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]
FYN	FYN	actin filament [GO:0005884]; cell body [GO:0044297]; cytosol [GO:0005829]; dendrite [GO:0030425]; endosome [GO:0005768]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; glial cell projection [GO:0097386]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; Schaffer collateral - CA1 synapse [GO:0098685]; alpha-tubulin binding [GO:0043014]; ATP binding [GO:0005524]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; growth factor receptor binding [GO:0070851]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]; signaling receptor binding [GO:0005102]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; transmembrane transporter binding [GO:0044325]; type 5 metabotropic glutamate receptor binding [GO:0031802]; activated T cell proliferation [GO:0050798]; adaptive immune response [GO:0002250]; axon guidance [GO:0007411]; calcium ion transport [GO:0006816]; cell differentiation [GO:0030154]; cellular response to amyloid-beta [GO:1904646]; cellular response to glycine [GO:1905430]; cellular response to L-glutamate [GO:1905232]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to transforming growth factor beta stimulus [GO:0071560]; dendrite morphogenesis [GO:0048813]; dendritic spine maintenance [GO:0097062]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; ephrin receptor signaling pathway [GO:0048013]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; feeding behavior [GO:0007631]; forebrain development [GO:0030900]; heart process [GO:0003015]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; learning [GO:0007612]; leukocyte migration [GO:0050900]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of dendritic spine maintenance [GO:1902951]; negative regulation of gene expression [GO:0010629]; negative regulation of hydrogen peroxide biosynthetic process [GO:0010730]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of oxidative stress-induced cell death [GO:1903202]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein ubiquitination [GO:0031397]; neuron migration [GO:0001764]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of cysteine-type endopeptidase activity [GO:2001056]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of neuron death [GO:1901216]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein localization to membrane [GO:1905477]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of calcium ion import across plasma membrane [GO:1905664]; regulation of cell shape [GO:0008360]; regulation of glutamate receptor signaling pathway [GO:1900449]; regulation of peptidyl-tyrosine phosphorylation [GO:0050730]; response to amyloid-beta [GO:1904645]; response to ethanol [GO:0045471]; response to hydrogen peroxide [GO:0042542]; response to singlet oxygen [GO:0000304]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell costimulation [GO:0031295]; T cell receptor signaling pathway [GO:0050852]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
SRC	SRC	actin filament [GO:0005884]; caveola [GO:0005901]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; late endosome [GO:0005770]; lysosome [GO:0005764]; membrane raft [GO:0045121]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; podosome [GO:0002102]; postsynaptic density [GO:0014069]; postsynaptic specialization, intracellular component [GO:0099091]; ruffle membrane [GO:0032587]; ATP binding [GO:0005524]; ATPase binding [GO:0051117]; BMP receptor binding [GO:0070700]; cadherin binding [GO:0045296]; connexin binding [GO:0071253]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; estrogen receptor binding [GO:0030331]; growth factor receptor binding [GO:0070851]; heme binding [GO:0020037]; insulin receptor binding [GO:0005158]; integrin binding [GO:0005178]; kinase binding [GO:0019900]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; phosphoprotein binding [GO:0051219]; protein C-terminus binding [GO:0008022]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]; activation of protein kinase B activity [GO:0032148]; adherens junction organization [GO:0034332]; angiotensin-activated signaling pathway involved in heart process [GO:0086098]; bone resorption [GO:0045453]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cell adhesion [GO:0007155]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cell-cell adhesion [GO:0098609]; cellular response to fatty acid [GO:0071398]; cellular response to fluid shear stress [GO:0071498]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to peptide hormone stimulus [GO:0071375]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to progesterone stimulus [GO:0071393]; entry of bacterium into host cell [GO:0035635]; ephrin receptor signaling pathway [GO:0048013]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB2 signaling pathway [GO:0038128]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; focal adhesion assembly [GO:0048041]; forebrain development [GO:0030900]; innate immune response [GO:0045087]; integrin-mediated signaling pathway [GO:0007229]; interleukin-6-mediated signaling pathway [GO:0070102]; intestinal epithelial cell development [GO:0060576]; intracellular signal transduction [GO:0035556]; leukocyte migration [GO:0050900]; macroautophagy [GO:0016236]; negative regulation of anoikis [GO:2000811]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of mitochondrial depolarization [GO:0051902]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of transcription, DNA-templated [GO:0045892]; neurotrophin TRK receptor signaling pathway [GO:0048011]; odontogenesis [GO:0042476]; oogenesis [GO:0048477]; osteoclast development [GO:0036035]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-tyrosine autophosphorylation [GO:0038083]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet activation [GO:0030168]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of cytokine production [GO:0001819]; positive regulation of dephosphorylation [GO:0035306]; positive regulation of DNA biosynthetic process [GO:2000573]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glucose metabolic process [GO:0010907]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of integrin activation [GO:0033625]; positive regulation of lamellipodium morphogenesis [GO:2000394]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of non-membrane spanning protein tyrosine kinase activity [GO:1903997]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of ovarian follicle development [GO:2000386]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of platelet-derived growth factor receptor-beta signaling pathway [GO:2000588]; positive regulation of podosome assembly [GO:0071803]; positive regulation of protein autophosphorylation [GO:0031954]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein processing [GO:0010954]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of protein transport [GO:0051222]; positive regulation of small GTPase mediated signal transduction [GO:0051057]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of transcription, DNA-templated [GO:0045893]; primary ovarian follicle growth [GO:0001545]; progesterone receptor signaling pathway [GO:0050847]; protein autophosphorylation [GO:0046777]; protein destabilization [GO:0031648]; regulation of bone resorption [GO:0045124]; regulation of caveolin-mediated endocytosis [GO:2001286]; regulation of cell projection assembly [GO:0060491]; regulation of cell-cell adhesion [GO:0022407]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of epithelial cell migration [GO:0010632]; regulation of intracellular estrogen receptor signaling pathway [GO:0033146]; regulation of postsynaptic neurotransmitter receptor activity [GO:0098962]; regulation of protein binding [GO:0043393]; regulation of vascular permeability [GO:0043114]; response to acidic pH [GO:0010447]; response to electrical stimulus [GO:0051602]; response to interleukin-1 [GO:0070555]; response to mechanical stimulus [GO:0009612]; response to mineralocorticoid [GO:0051385]; response to nutrient levels [GO:0031667]; response to virus [GO:0009615]; response to xenobiotic stimulus [GO:0009410]; signal complex assembly [GO:0007172]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress fiber assembly [GO:0043149]; substrate adhesion-dependent cell spreading [GO:0034446]; T cell costimulation [GO:0031295]; transcytosis [GO:0045056]; transforming growth factor beta receptor signaling pathway [GO:0007179]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; uterus development [GO:0060065]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]
SCNND	SCNN1D	actin cytoskeleton [GO:0015629]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sodium channel complex [GO:0034706]; ligand-gated sodium channel activity [GO:0015280]; cellular response to acidic pH [GO:0071468]; cellular response to amiloride [GO:0036254]; cellular sodium ion homeostasis [GO:0006883]; sensory perception of taste [GO:0050909]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; sodium ion transport [GO:0006814]
VGFR1	FLT1	actin cytoskeleton [GO:0015629]; endosome [GO:0005768]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; growth factor binding [GO:0019838]; placental growth factor-activated receptor activity [GO:0036332]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor-activated receptor activity [GO:0005021]; angiogenesis [GO:0001525]; blood vessel morphogenesis [GO:0048514]; cell migration [GO:0016477]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; embryonic morphogenesis [GO:0048598]; hematopoietic progenitor cell differentiation [GO:0002244]; hyaloid vascular plexus regression [GO:1990384]; monocyte chemotaxis [GO:0002548]; negative regulation of vascular endothelial cell proliferation [GO:1905563]; peptidyl-tyrosine phosphorylation [GO:0018108]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of phospholipase C activity [GO:0010863]; protein autophosphorylation [GO:0046777]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; vascular endothelial growth factor receptor-1 signaling pathway [GO:0036323]
